2024-01-29 20:35:43 - INFO  - 112 https://www.amazon.com/USHON-Replacement-Toothbrush-Toothbrushes-Compatible/dp/B0BG75KKL4/
2024-01-29 20:35:47 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:35:47 - INFO  - 113 https://www.amazon.com/100-Pure-Castor-Oil-Cold-pressed/dp/B09CV925V4/
2024-01-29 20:35:53 - INFO  - Ingredients section found...
2024-01-29 20:35:56 - INFO  - Ingredients added to excel file...
2024-01-29 20:35:56 - INFO  - 114 https://www.amazon.com/Lume-Whole-Body-Deodorant-Aluminum/dp/B0C2Y4FSB5/
2024-01-29 20:36:01 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:36:01 - INFO  - 115 https://www.amazon.com/Garnier-Fructis-Intensely-Smooth-Conditioning/dp/B078PJCVSQ/
2024-01-29 20:36:07 - INFO  - Ingredients section found...
2024-01-29 20:36:09 - INFO  - Ingredients added to excel file...
2024-01-29 20:36:10 - INFO  - 116 https://www.amazon.com/Just-Men-Reducing-Conditioner-Gradually/dp/B0829LV2SZ/
2024-01-29 20:36:15 - INFO  - Ingredients section found...
2024-01-29 20:36:18 - INFO  - Ingredients added to excel file...
2024-01-29 20:36:18 - INFO  - 117 https://www.amazon.com/Philips-Norelco-OneBlade-QP2834-70/dp/B0BZDPFH45/
2024-01-29 20:36:23 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:36:23 - INFO  - 118 https://www.amazon.com/Certified-Kate-Stimulate-Eyelashes-Moisturizer/dp/B01N7TBG6J/
2024-01-29 20:36:28 - INFO  - Ingredients section found...
2024-01-29 20:36:31 - INFO  - Ingredients added to excel file...
2024-01-29 20:36:31 - INFO  - 119 https://www.amazon.com/Burts-Bees-Natural-Tinted-Botanical/dp/B0163BMUFM/
2024-01-29 20:36:36 - INFO  - Ingredients section found...
2024-01-29 20:36:38 - INFO  - Ingredients added to excel file...
2024-01-29 20:36:38 - INFO  - 120 https://www.amazon.com/100-Pure-Castor-Oil-Moisturizes/dp/B0734849YK/
2024-01-29 20:36:43 - INFO  - Ingredients section found...
2024-01-29 20:36:46 - INFO  - Ingredients added to excel file...
